"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","132","Плейсхолдеры реквизитов карты [4] Поле ввода имени держателя, Имя и фамилия на карте","","Sat May 17 22:48:34 MSK 2025","passed","Sat May 17 22:48:34 MSK 2025","","test.java.lesson_16.PayFrameTest","test.java.lesson_16.PayFrameTest","checkPlaceholders"
"","146","Тест 1: Проверка плейсхолдеров формы оплаты на главной странице [2] connection-sum, Сумма","","Sat May 17 22:57:42 MSK 2025","passed","Sat May 17 22:57:42 MSK 2025","","test.java.lesson_16.PaySectionTest","test.java.lesson_16.PaySectionTest","checkPlaceholders"
"","59","Тест 1: Проверка плейсхолдеров формы оплаты на главной странице [12] arrears-email, E-mail для отправки чека","","Sat May 17 22:57:44 MSK 2025","passed","Sat May 17 22:57:44 MSK 2025","","test.java.lesson_16.PaySectionTest","test.java.lesson_16.PaySectionTest","checkPlaceholders"
"","98","Тест 1: Проверка плейсхолдеров формы оплаты на главной странице [5] internet-sum, Сумма","","Sat May 17 22:57:43 MSK 2025","passed","Sat May 17 22:57:43 MSK 2025","","test.java.lesson_16.PaySectionTest","test.java.lesson_16.PaySectionTest","checkPlaceholders"
"","114","Тест 1: Проверка плейсхолдеров формы оплаты на главной странице [10] score-arrears, Номер счета на 2073","","Sat May 17 22:57:44 MSK 2025","passed","Sat May 17 22:57:44 MSK 2025","","test.java.lesson_16.PaySectionTest","test.java.lesson_16.PaySectionTest","checkPlaceholders"
"","352","Картинки платежных систем [3] belkart-system.svg","","Sat May 17 22:48:35 MSK 2025","passed","Sat May 17 22:48:36 MSK 2025","","test.java.lesson_16.PayFrameTest","test.java.lesson_16.PayFrameTest","payPics"
"","251","Тест 1: Проверка плейсхолдеров формы оплаты на главной странице [4] internet-phone, Номер абонента","","Sat May 17 22:57:42 MSK 2025","passed","Sat May 17 22:57:43 MSK 2025","","test.java.lesson_16.PaySectionTest","test.java.lesson_16.PaySectionTest","checkPlaceholders"
"","354","Тест 1: Проверка плейсхолдеров формы оплаты на главной странице [1] connection-phone, Номер телефона","","Sat May 17 22:57:41 MSK 2025","passed","Sat May 17 22:57:42 MSK 2025","","test.java.lesson_16.PaySectionTest","test.java.lesson_16.PaySectionTest","checkPlaceholders"
"","238","Плейсхолдеры реквизитов карты [2] Поле ввода срока действия карты, Срок действия","","Sat May 17 22:48:33 MSK 2025","passed","Sat May 17 22:48:34 MSK 2025","","test.java.lesson_16.PayFrameTest","test.java.lesson_16.PayFrameTest","checkPlaceholders"
"","125","Тест 1: Проверка плейсхолдеров формы оплаты на главной странице [7] score-instalment, Номер счета на 44","","Sat May 17 22:57:43 MSK 2025","passed","Sat May 17 22:57:43 MSK 2025","","test.java.lesson_16.PaySectionTest","test.java.lesson_16.PaySectionTest","checkPlaceholders"
"","735","Картинки платежных систем [1] mastercard-system.svg","","Sat May 17 22:48:34 MSK 2025","passed","Sat May 17 22:48:35 MSK 2025","","test.java.lesson_16.PayFrameTest","test.java.lesson_16.PayFrameTest","payPics"
"","147","Номер телефона в заголовке","","Sat May 17 22:48:37 MSK 2025","passed","Sat May 17 22:48:37 MSK 2025","","test.java.lesson_16.PayFrameTest","test.java.lesson_16.PayFrameTest","descriptionPhone"
"","69","Текст кнопки оплаты","","Sat May 17 22:48:36 MSK 2025","passed","Sat May 17 22:48:36 MSK 2025","","test.java.lesson_16.PayFrameTest","test.java.lesson_16.PayFrameTest","btnText"
"","50","Тест 1: Проверка плейсхолдеров формы оплаты на главной странице [3] connection-email, E-mail для отправки чека","","Sat May 17 22:57:42 MSK 2025","passed","Sat May 17 22:57:42 MSK 2025","","test.java.lesson_16.PaySectionTest","test.java.lesson_16.PaySectionTest","checkPlaceholders"
